Photo,Ci,Tleaf,Press
41.10,1790.00,28.48,101.20
40.40,1290.00,28.75,101.20
41.00,972.00,29.05,101.20
40.50,764.00,29.33,101.20
39.20,585.00,29.44,101.20
36.50,433.00,29.33,101.20
30.00,289.00,28.89,101.20
15.30,149.00,28.56,101.20
4.98,82.40,28.59,101.30
-0.72,49.90,28.64,101.20
-3.98,30.00,28.72,101.20
,,,
